Назва,всього,всього
Одеська область,342926,464772
м.Одеса,206857,273720
м.Балта,2067,3166
м.Білгород-Дністровський,9165,13123
м.Біляївка,2542,3089
м.Ізмаїл,12281,16246
м.Чорноморськ,19154,23059
м.Подільськ,2497,4149
м.Теплодар,804,1359
м.Южне,7898,9242
Ананьївський,1412,2218
Арцизький,3293,5057
Балтський,1134,1707
Білгород-Дністровський,3768,5474
Біляївський,6911,10985
Березівський,1765,2865
Болградський,3945,6513
Великомихайлівський,1806,2607
Іванівський,2068,2997
Ізмаїльський,2778,4308
Кілійський,3699,5504
Кодимський,1404,2299
Лиманський,11321,14556
Подільський,1290,1764
Окнянський,1401,1989
Любашівський,1500,2302
Миколаївський,899,1380
Овідіопольський,12407,17659
Роздільнянський,2607,4423
Ренійський,2256,3282
Савранський,1383,1982
Саратський,3712,5034
Тарутинський,2681,3842
Татарбунарський,2082,3444
Захарівський,714,1154
Ширяївський,1425,2274
